@RELATION Events

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 {Inventory Management,On Time Delivery,Production Management}
@ATTRIBUTE attribute_2 {Inventory in MSU,Production - BRAZIL,Value Stream CFR,Value Stream MTD,Value Stream MTD - ARGENTINA,Value Stream MTD - BRAZIL}
@ATTRIBUTE attribute_3 {ARGENTINA,BRAZIL,COSTA RICA,GUATEMALA,NICARAGUA}
@ATTRIBUTE attribute_4 {ARGENTINA,BRAZIL,COSTA RICA,GUATEMALA,NICARAGUA}
@ATTRIBUTE attribute_5 {%,MSU,d}
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 {"Jose Salazar; Cristian Matamoros;","Laura Camacho; Cristian Matamoros;","Laura Camacho; Hidalgo David; Carlos Lara;","Laura Camacho; Hidalgo David;"}
@ATTRIBUTE attribute_8 {N.A.}
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 {AUMENTAR_20%,AUMENTAR_PRODUCTO,DUPLICAR_HORA,POSTERGAR_PRODUCTO}

@DATA
139,Inventory Management,Value Stream MTD - ARGENTINA,NICARAGUA,NICARAGUA,%,120,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,174.25,174.25,87.01,DUPLICAR_HORA
140,Production Management,Inventory in MSU ,GUATEMALA,COSTA RICA,%,98,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,4786,4786,90.83,AUMENTAR_20%
141,Production Management,Production - BRAZIL,BRAZIL,ARGENTINA,MSU,500,"Laura Camacho; Cristian Matamoros;",N.A.,5,5,174.25,POSTERGAR_PRODUCTO
142,Production Management,Value Stream MTD - BRAZIL,COSTA RICA,NICARAGUA,d,98,"Laura Camacho; Cristian Matamoros;",N.A.,5100,183,174.25,DUPLICAR_HORA
143,Production Management,Inventory in MSU ,NICARAGUA,ARGENTINA,MSU,120,"Jose Salazar; Cristian Matamoros;",N.A.,1,183,4786,AUMENTAR_20%
144,Inventory Management,Value Stream MTD - ARGENTINA,COSTA RICA,NICARAGUA,d,98,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,174.25,5100,5,POSTERGAR_PRODUCTO
145,On Time Delivery,Inventory in MSU ,ARGENTINA,BRAZIL,%,5000,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,174.25,1,85.76,DUPLICAR_HORA
146,On Time Delivery,Inventory in MSU ,BRAZIL,GUATEMALA,%,120,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,4786,174.25,90.59,AUMENTAR_20%
147,On Time Delivery,Production - BRAZIL,NICARAGUA,ARGENTINA,MSU,120,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,5,174.25,176.45,POSTERGAR_PRODUCTO
148,On Time Delivery,Value Stream MTD - ARGENTINA,GUATEMALA,COSTA RICA,d,120,"Laura Camacho; Cristian Matamoros;",N.A.,90.59,4786,176.45,DUPLICAR_HORA
149,Production Management,Value Stream MTD - BRAZIL,BRAZIL,COSTA RICA,%,500,"Laura Camacho; Cristian Matamoros;",N.A.,78.1,5,4000,AUMENTAR_20%
150,Production Management,Inventory in MSU ,COSTA RICA,NICARAGUA,d,98,"Jose Salazar; Cristian Matamoros;",N.A.,85.76,5100,90.59,POSTERGAR_PRODUCTO
151,Inventory Management,Value Stream MTD - ARGENTINA,NICARAGUA,COSTA RICA,MSU,120,"Jose Salazar; Cristian Matamoros;",N.A.,11,1,176.45,DUPLICAR_HORA
